BPReturns,SPXReturns,DetrendedVol,LogVol,VIX,Volatility,months,year,Date
-0.227221957,-0.164631109,0.873592432,15.44164274,27.16421089,0.000942945,April,2000,01/04/2000
0.430352553,0.370035086,-0.104479345,14.57401837,28.13400005,0.000160788,April,2001,01/04/2001
-0.201275253,-0.288112068,-0.22983591,14.55713302,19.90045464,0.000198066,April,2002,01/04/2002
-0.006173746,0.37108257,0.03543328,14.93328878,23.99190471,0.000418659,April,2003,01/04/2003
0.155542024,-0.080634831,-0.003828115,15.00513352,15.69857152,0.000106729,April,2004,01/04/2004
-0.115867142,-0.096731006,-0.00828879,15.11090068,14.45904762,0.000336878,April,2005,01/04/2005
0.352829244,0.063591401,-0.225666921,15.00418954,11.84736842,0.000230805,April,2006,01/04/2006
0.194618344,0.211899217,-0.3316315,15.00823321,12.933,0.000100251,April,2007,01/04/2007
0.829358766,0.211140692,-0.318186187,15.13234551,21.56272732,0.000140245,April,2008,01/04/2008
0.272314992,0.427486757,0.241294054,15.80271232,38.06380933,0.000514832,April,2009,01/04/2009
-0.429306499,0.06976844,0.140125699,15.81221095,17.42428567,0.00076217,April,2010,01/04/2010
0.221569265,0.140484693,0.112650429,15.89562225,16.24400005,0.000196576,April,2011,01/04/2011
-0.179863302,-0.037628499,-0.327203739,15.56643506,17.8229999,0.000236777,April,2012,01/04/2012
0.237534749,0.256209669,-0.05496578,14.55041268,18.0886957,0.000229785,August,2000,01/08/2000
0.126585994,-0.288067949,-0.14120977,14.57483568,21.86173904,0.000130527,August,2001,01/08/2001
0.039016724,0.022134352,-0.206522065,14.61821417,33.74272745,0.000636255,August,2002,01/08/2002
0.019443604,0.084358837,-0.159751426,14.77543222,19.27428567,0.000232682,August,2003,01/08/2003
-0.219757657,0.010385172,-0.128117307,14.91751375,16.68409082,0.000169781,August,2004,01/08/2004
0.161936872,-0.049067599,-0.171745124,14.9847725,12.95130435,0.000170901,August,2005,01/08/2005
-0.276606832,0.091526333,-0.258823422,15.00836118,13.35173913,0.000236014,August,2006,01/08/2006
-0.129719616,0.055571907,-0.128300426,15.24911201,25.02608665,0.000446706,August,2007,01/08/2007
-0.304846618,0.057698853,0.02515101,15.51323044,20.69571419,0.00043433,August,2008,01/08/2008
0.132322744,0.157187318,-0.281414268,15.31733215,25.33714271,0.000218415,August,2009,01/08/2009
-0.451816368,-0.220962833,0.763706109,16.47289993,24.745909,0.000497746,August,2010,01/08/2010
-0.621220873,-0.254206529,0.414877164,16.23495755,35.02913035,0.001180954,August,2011,01/08/2011
0.229220957,0.085089608,-0.781625628,15.1495609,15.68956509,9.56E-05,August,2012,01/08/2012
0.045901962,0.020226262,0.248815447,14.89130248,26.5304999,0.0002198,December,2000,01/12/2000
0.2581076,0.037726484,-0.097828534,14.65356887,23.72000005,0.00021629,December,2001,01/12/2001
0.171748069,-0.296329843,-0.202826211,14.6590186,28.21047629,0.000275076,December,2002,01/12/2002
0.6589684,0.225086296,-0.055425509,14.91686671,16.82636364,6.68E-05,December,2003,01/12/2003
-0.223996429,0.145193516,-0.45413864,14.62882057,12.45954545,0.000144157,December,2004,01/12/2004
-0.11863234,-0.004537156,-0.357829307,14.83601646,11.26,0.00019401,December,2005,01/12/2005
-0.072497497,0.062684335,-0.513375171,14.79091801,10.9645,0.00012732,December,2006,01/12/2006
0.029470308,-0.043329751,-0.712351114,14.7021699,21.6509999,0.000247785,December,2007,01/12/2007
-0.185787626,0.035414304,0.121770313,15.64695831,52.40500014,0.001309277,December,2008,01/12/2008
0.062370299,0.080066003,-0.546023339,15.08983165,21.23954545,0.0001573,December,2009,01/12/2009
0.450756028,0.287529489,-0.010973962,15.73554801,17.56954555,0.000244971,December,2010,01/12/2010
-0.089401827,0.040459837,-0.465693041,15.3917155,25.04761905,0.000293313,December,2011,01/12/2011
-0.068501558,-0.051350838,-0.670066085,15.29713113,17.26947347,8.59E-05,December,2012,01/12/2012
-0.664335807,-0.101565012,0.615527858,15.16491409,23.5955002,0.001075425,February,2000,01/02/2000
-0.197847443,-0.509637607,-0.041864032,14.61840877,23.41157916,0.00027887,February,2001,01/02/2001
0.309525688,-0.110446639,-0.130547473,14.63863569,22.87578984,0.000185239,February,2002,01/02/2002
-0.122848585,-0.090262262,0.153109668,15.03295982,32.21842105,0.000378151,February,2003,01/02/2003
0.174004866,0.063868657,-0.027231295,14.96284669,15.99842116,0.000108753,February,2004,01/02/2004
0.448234949,0.098562621,0.058701283,15.15944625,11.70894737,0.000153461,February,2005,01/02/2005
-0.447180098,0.0023845,-0.189612066,15.02179989,12.47105263,0.000245517,February,2006,01/02/2006
-0.165841875,-0.116254406,-0.192512403,15.12912739,11.15526311,0.000149056,February,2007,01/02/2007
0.071418849,-0.176898698,-0.14114913,15.29137723,25.45600015,0.000269785,February,2008,01/02/2008
-0.535698378,-0.612929016,0.409760463,15.95273423,45.57052584,0.001154675,February,2009,01/02/2009
-0.280241619,0.147972314,0.169868916,15.82307051,22.54,0.000247076,February,2010,01/02/2010
0.109721668,0.165560932,0.253888784,16.01819652,17.42999984,0.000172981,February,2011,01/02/2011
0.134315587,0.198936725,0.222058924,16.09725323,18.4205,0.00016272,February,2012,01/02/2012
-0.473740791,-0.224472929,0.404879351,14.94570207,23.14894726,0.000589613,January,2000,01/01/2000
0.34756362,0.162143961,0.361278428,15.01276813,24.91857148,0.000328364,January,2001,01/01/2001
0.021452665,-0.07474466,-0.163607166,14.59679291,22.25285719,0.000199809,January,2002,01/01/2002
-0.196099585,-0.132368989,0.1517213,15.02278836,27.42428571,0.000229375,January,2003,01/01/2003
-0.180525031,0.085644235,0.166834671,15.14834914,16.10099995,0.000169025,January,2004,01/01/2004
0.103375737,-0.128078837,-0.272944865,14.81923659,13.438,0.000136258,January,2005,01/01/2005
0.593238501,0.125739478,0.011688997,15.21453744,12.036,0.000216852,January,2006,01/01/2006
-0.274933359,0.069805655,0.007473804,15.32055008,11.0425,0.000241205,January,2007,01/01/2007
-0.641352047,-0.300542209,-0.049781355,15.37374233,25.81619076,0.000727723,January,2008,01/01/2008
-0.47901202,-0.447749397,0.380697205,15.91510745,44.68300015,0.000853243,January,2009,01/01/2009
-0.170702185,-0.198290127,-0.177091856,15.4677658,20.64315763,0.000289696,January,2010,01/01/2010
0.360260867,0.111964847,0.544653861,16.30039809,17.31549985,0.000396076,January,2011,01/01/2011
0.357738308,0.21330022,-0.122464352,15.74394686,20.22799995,0.000116913,January,2012,01/01/2012
-0.396076178,-0.082381338,0.078764139,14.67470077,19.89300025,0.0003143,July,2000,01/07/2000
-0.041253791,-0.051420199,-0.235608122,14.47077592,22.31619052,0.000243561,July,2001,01/07/2001
-0.383981064,-0.374090384,0.153419094,14.96849393,34.04954495,0.001590084,July,2002,01/07/2002
