"","months","years","AverageTone","Diction_Tone","Henry2006_Tone","Henry2008_Tone","LIWC_Tone","LM_Tone"
"1","April","2000",-0.0654395484235294,-0.254850490823529,0.137833685705882,0.139696572705882,-0.0604273944705882,-0.289450115235294
"2","April","2001",-0.143655371375,-0.131969590522727,-0.111309268193182,-0.0944867389659091,0.132152517886364,-0.512663777079545
"3","April","2002",-0.114735607938028,-0.255153175147887,-0.0144837848028169,0.000855813591549293,0.135456480450704,-0.44035337378169
"4","April","2003",-0.143971760974863,-0.206282859863388,-0.0742105946830601,-0.0747267116502732,0.0788643617978142,-0.44350300047541
"5","April","2004",-0.106404062109735,-0.121147552159292,-0.0914973872389381,-0.0809342678230088,0.180443007584071,-0.418884110911504
"6","April","2005",-0.0897677274472222,-0.112969659375,-0.0882918297013889,-0.0804676423680556,0.232649069229167,-0.399758575020833
"7","April","2006",-0.1097814739,-0.0960944293596491,-0.146710442894737,-0.134978551149123,0.275594803070175,-0.446718749166667
"8","April","2007",-0.0979516202772414,-0.102050782924138,-0.096294726,-0.0858218917034483,0.284334725510345,-0.489925426268966
"9","April","2008",-0.07571228343875,-0.18324740870625,-0.0148752473125,-0.00433305001875,0.2728206552,-0.44892636635625
"10","April","2009",-0.143183816464808,-0.115782572787456,-0.18473309810453,-0.183002583909408,0.237381399853659,-0.469782227376307
"11","April","2010",-0.0828233170057143,-0.102334637342857,-0.0913151248285714,-0.0889440267190476,0.320043310133333,-0.451566106271429
"12","April","2011",-0.104345450313953,-0.117568793193798,-0.0414982650348837,-0.0357046234651163,0.236041590321705,-0.562997160197674
"13","April","2012",-0.113558605021186,-0.128974634389831,-0.0768807010635593,-0.0697860715381356,0.232968915991525,-0.525120534105932
"14","April","2014",0,0,0,0,0,0
"15","August","2000",-0.0922732537675676,-0.265481644148649,-0.0343005060540541,-0.00903211767567567,0.258460663054054,-0.411012664013513
"16","August","2001",-0.099604684122314,-0.212527338793388,-0.0313313552396694,-0.0190231202396694,0.195154775404959,-0.430296381743802
"17","August","2002",-0.105461670884783,-0.221247827652174,-0.0757227434728261,-0.0748772867934783,0.181386913483696,-0.33684740998913
"18","August","2003",-0.0941182471742424,-0.237079387257576,-0.0460311776818182,-0.0410507753712121,0.194499208068182,-0.340929103628788
"19","August","2004",-0.097638368175,-0.167261488451923,-0.0728314696538462,-0.0657809255576923,0.194687367846154,-0.377005325057692
"20","August","2005",-0.0737489387707317,-0.0125852702520325,-0.191811177430894,-0.182771569593496,0.428269969512195,-0.409846646089431
"21","August","2006",-0.0866613013087719,-0.260345700192982,-0.0215568616052632,0.0035235996754386,0.253043762412281,-0.407971306833333
"22","August","2007",-0.084390655255914,-0.190477605784946,0.0143579606774194,0.0278771752580645,0.212707607053763,-0.486418413483871
"23","August","2008",-0.114304512934146,-0.195488277957317,-0.0334225045060976,-0.0271542618780488,0.184379646676829,-0.499837167006098
"24","August","2009",-0.1294471997275,-0.2357979316375,-0.130182167283333,-0.127025536566667,0.310161759008333,-0.464392122158333
"25","August","2010",-0.111259213335644,-0.120771936965347,-0.104453484227723,-0.0985727946089109,0.254280118633663,-0.486777969509901
"26","August","2011",-0.0942273103020134,-0.141929647838926,-0.114060819751678,-0.104468894442953,0.308008595120805,-0.418685784597315
"27","August","2012",-0.138351229353846,-0.123061247846154,-0.178079779350427,-0.165470791564103,0.233209657551282,-0.458353985559829
"28","December","2000",-0.101056946513514,-0.343596643162162,0.0630887035675676,0.0848885187027027,0.206572617621622,-0.516237929297297
"29","December","2001",-0.155812096115217,-0.245564250565217,-0.0802411674456522,-0.0772335493369565,0.118942031336957,-0.494963544565217
"30","December","2002",-0.0775219514,-0.132219311597015,-0.0455528342238806,-0.0308878257164179,0.282589292104478,-0.461539077567164
"31","December","2003",-0.1166060765625,-0.13604215145,-0.07941368685,-0.07932737595,0.15024177625,-0.4384889448125
"32","December","2004",-0.0897867139142857,-0.20993067827381,-0.0612608430119048,-0.0471769828452381,0.27372574302381,-0.404290808464286
"33","December","2005",-0.0750864584740741,-0.0412934239012346,-0.118020352506173,-0.111371551814815,0.255021292012346,-0.359768256160494
"34","December","2006",-0.0465301874222222,-0.0705953058055556,0.0162892905833333,0.0204693145555556,0.21809045825,-0.416904694694444
"35","December","2007",-0.103560268,-0.140210830550562,-0.121965789505618,-0.111547794719101,0.306760814719101,-0.45083773994382
"36","December","2008",-0.118461973254867,-0.0954146542212389,-0.0946491851681416,-0.0894448588849557,0.179325017362832,-0.492126185362832
"37","December","2009",-0.0750935357192308,-0.0207891924711538,-0.103130734894231,-0.101550371932692,0.222512574942308,-0.372509954240385
"38","December","2010",-0.112951554933333,-0.192932490066667,0.00147070400952381,0.00824429842857143,0.246251189485714,-0.62779147652381
"39","December","2011",-0.0895285908585034,-0.0986187385238095,0.018151654585034,0.0331019635782313,0.0995352169455782,-0.499813050877551
"40","December","2012",-0.0795513815830986,0.0446599110422535,-0.089354727915493,-0.0831116262394366,0.242307484859155,-0.512257949661972
"41","February","2000",-0.0889982143221053,-0.336376163421053,0.0462933865578947,0.083309052768421,0.200487682684211,-0.4387050302
"42","February","2001",-0.0774102831247863,-0.223490357179487,0.0295559563675214,0.045224862965812,0.199421456393162,-0.43776333417094
"43","February","2002",-0.08977119648,-0.236644618557895,0.00172672495263158,-0.00191104858421053,0.191474160831579,-0.403501201042105
"44","February","2003",-0.165604781060833,-0.284314415679167,-0.1609319047625,-0.153870303704167,0.243791256820833,-0.472698537979167
"45","February","2004",-0.0886740041679144,-0.159811482438503,-0.0649841193262032,-0.0652828262780749,0.259022204828877,-0.412313797625668
"46","February","2005",-0.0756237783583333,-0.170174015527778,-0.0256314433055556,-0.0201400606805556,0.213712599326389,-0.375885971604167
"47","February","2006",-0.0778734078697368,-0.170972687894737,-0.0357613118355263,-0.0291146963881579,0.287333210684211,-0.440851553914474
"48","February","2007",-0.0885717918650406,-0.192360215601626,-0.0160876452520325,-0.00118998993495935,0.226330484235772,-0.459551592772358
"49","February","2008",-0.123484553731677,-0.195795846310559,-0.0432438629503106,-0.0236904409627329,0.180125405055901,-0.534818023490683
"50","February","2009",-0.121475645173384,-0.19139045934981,-0.0510886443954373,-0.0467009985589354,0.18204018078327,-0.500238304346008
"51","February","2010",-0.107538348150847,-0.257094737838983,-0.0581907025,-0.0525228494745763,0.267854980220339,-0.437738431161017
"52","February","2011",-0.0911249698968085,-0.203482058101064,0.00883696303191489,0.0194337706702128,0.228775778340426,-0.509189303425532
