"","X.substring.year..1..4.."
"1","2005"
"2","2004"
"3","2004"
"4","2004"
"5","2002"
"6","2001"
"7","2005"
"8","2005"
"9","2005"
"10","2005"
"11","2005"
"12","2005"
"13","2005"
"14","2004"
"15","2004"
"16","2004"
"17","2004"
"18","2004"
"19","2004"
"20","2003"
"21","2003"
"22","2003"
"23","2003"
"24","2003"
"25","2002"
"26","2002"
"27","2002"
"28","2002"
"29","2002"
"30","2001"
"31","2001"
"32","2001"
"33","2000"
"34","2000"
"35","2000"
"36","2000"
"37","2012"
"38","2011"
"39","2011"
"40","2011"
"41","2010"
"42","2009"
"43","2008"
"44","2008"
"45","2008"
"46","2007"
"47","2006"
"48","2006"
"49","2006"
"50","2001"
"51","2001"
"52","2000"
"53","2012"
"54","2012"
"55","2012"
"56","2012"
"57","2012"
"58","2012"
"59","2012"
"60","2011"
"61","2011"
"62","2011"
"63","2011"
"64","2011"
"65","2011"
"66","2011"
"67","2010"
"68","2010"
"69","2010"
"70","2010"
"71","2010"
"72","2010"
"73","2010"
"74","2010"
"75","2010"
"76","2010"
"77","2009"
"78","2009"
"79","2009"
"80","2009"
"81","2009"
"82","2009"
"83","2009"
"84","2009"
"85","2009"
"86","2009"
"87","2008"
"88","2008"
"89","2008"
"90","2008"
"91","2008"
"92","2008"
"93","2008"
"94","2008"
"95","2007"
"96","2007"
"97","2007"
"98","2007"
"99","2007"
"100","2006"
"101","2006"
"102","2006"
"103","2006"
"104","2006"
"105","2006"
"106","2006"
"107","2006"
"108","2005"
"109","2005"
"110","2005"
"111","2005"
"112","2005"
"113","2005"
"114","2004"
"115","2004"
"116","2004"
"117","2004"
"118","2004"
"119","2003"
"120","2003"
"121","2003"
"122","2003"
"123","2003"
"124","2003"
"125","2003"
"126","2003"
"127","2002"
"128","2002"
"129","2002"
"130","2001"
"131","2001"
"132","2001"
"133","2001"
"134","2001"
"135","2001"
"136","2000"
"137","2000"
"138","2000"
"139","2000"
"140","2000"
"141","2000"
"142","2000"
"143","2009"
"144","2008"
"145","2008"
"146","2007"
"147","2007"
"148","2007"
"149","2007"
"150","2007"
"151","2006"
"152","2006"
"153","2005"
"154","2005"
"155","2002"
"156","2009"
"157","2009"
"158","2009"
"159","2009"
"160","2009"
"161","2009"
"162","2009"
