"","Company.Name","Date","Group.1","Group.2","PR_AVG_Tone","PR_LM_Tone","PR_LIWC_Tone","PR_DIC_Tone","PR_H06_Tone","PR_H08_Tone","MA_AVG_Tone","MA_LM_Tone","MA_LIWC_Tone","MA_DIC_Tone","MA_H06_Tone","MA_H08_Tone"
"1","888 HOLDINGS","2006-03-16","888 HOLDINGS","2006-03-16",0.4444731202,0.425742574,0.775510204,0.328358209,0.350649351,0.342105263,0.7994697178,0.75,0.925925926,0.846153846,0.741935484,0.733333333
"2","888 HOLDINGS","2006-05-10","888 HOLDINGS","2006-05-10",0.6588235294,0.333333333333333,1,0.627450980333333,0.666666666666667,0.666666666666667,1,1,1,1,1,1
"3","888 HOLDINGS","2006-07-25","888 HOLDINGS","2006-07-25",0.7656209151,1,0.5392156865,0.9,0.6944444445,0.6944444445,0.5384494264,0.416666666666667,0.743315508,0.575,0.478632478666667,0.478632478666667
"4","888 HOLDINGS","2006-09-14","888 HOLDINGS","2006-09-14",0.6111121874,0.4853801165,0.7382179675,0.3748221905,0.7091836735,0.747956989,0.3916666666,-0.125,0.916666667,0.5,0.333333333,0.333333333
"5","888 HOLDINGS","2007-02-14","888 HOLDINGS","2007-02-14",0.6827407913,0.77124183,0.817813765,0.613053613,0.608305275,0.6032894735,0.582736744866667,0.254901960666667,0.800569800666667,0.307359307333333,0.776223776,0.774628879666667
"6","888 HOLDINGS","2007-04-30","888 HOLDINGS","2007-04-30",0.7116754518,0.770401106666667,0.846790890333333,0.470824949666667,0.737769971333333,0.732590341,0.71934690524,0.2898240322,0.9007215008,0.7005747128,0.8531359254,0.852478355
"7","888 HOLDINGS","2007-05-30","888 HOLDINGS","2007-05-30",0.488080808133333,0.333333333333333,0.666666666666667,0.373737374,0.533333333333333,0.533333333333333,0.7967201426,0.5,0.8502673795,0.7666666665,0.9333333335,0.9333333335
"8","888 HOLDINGS","2007-09-10","888 HOLDINGS","2007-09-10",0.7910583948,0.657894737,0.8226415095,0.707317073,0.887096774,0.8803418805,0.8501883178,0.733333333,0.850746269,0.849056604,0.913043478,0.904761905
"9","888 HOLDINGS","2008-08-04","888 HOLDINGS","2008-08-04",0.7242525913,0.619047619,0.871212121,0.766233766,0.6850459485,0.679723502,0.7464570516,0.571428571,0.909090909,0.818181818,0.719298246,0.714285714
"10","888 HOLDINGS","2008-08-28","888 HOLDINGS","2008-08-28",0.7853880187,0.6821192055,0.7954545455,0.675862069,0.8846153845,0.888888889,0.8393606392,0.636363636,0.846153846,0.714285714,1,1
"11","888 HOLDINGS","2009-02-05","888 HOLDINGS","2009-02-05",0.1046897544,-0.222222222,0.571428571,0.083333333,0.045454545,0.045454545,0.3555555558,0.25,0.75,-0.333333333,0.555555556,0.555555556
"12","888 HOLDINGS","2009-03-30","888 HOLDINGS","2009-03-30",0.6813895812,0.581599831,0.770395575333333,0.600304263666667,0.730415526,0.72423271,0.3666051493,-0.0857142855,0.6233766235,0.6,0.3595238095,0.335839599
