,Company.Name,Date,Group.1,Group.2,PR_AVG_Tone,PR_LM_Tone,PR_LIWC_Tone,PR_DIC_Tone,PR_H06_Tone,PR_H08_Tone,MA_AVG_Tone,MA_LM_Tone,MA_LIWC_Tone,MA_DIC_Tone,MA_H06_Tone,MA_H08_Tone
2303,COBHAM,06/01/2000,COBHAM,06/01/2000,0.692857143,0.714285714,0.75,1,0.5,0.5,0.805714286,1,0.428571429,0.6,1,1
310,ANITE,11/01/2000,ANITE,11/01/2000,0.609913443,0.34375,0.798165138,0.255813953,0.831325301,0.820512821,0.96,0.8,1,1,1,1
5038,MATALAN DEAD - 22/12/06,11/01/2000,MATALAN DEAD - 22/12/06,11/01/2000,0.942857143,1,1,0.714285714,1,1,0.338360083,0.285714286,0.290322581,0.379310345,0.379310345,0.357142857
6901,SELFRIDGES DEAD - DELIST 17/09/03,11/01/2000,SELFRIDGES DEAD - DELIST 17/09/03,11/01/2000,0.897105509,0.714285714,1,1,0.888888889,0.882352941,0.338360083,0.285714286,0.290322581,0.379310345,0.379310345,0.357142857
2824,DIXONS RETAIL,12/01/2000,DIXONS RETAIL,12/01/2000,0.580367185,0.092985151,0.910906298,0.518394649,0.701754386,0.677795443,0.28441502,0.125,0.52,0.2,0.304347826,0.272727273
4893,MARKS & SPENCER GROUP,12/01/2000,MARKS & SPENCER GROUP,12/01/2000,0.582222222,0.333333333,0.6,0.866666667,0.555555556,0.555555556,0.126666667,0.166666667,0.066666667,0.2,0.1,0.1
5774,PENINSULAR & OR.STM.NAV DEAD - 09/03/06,12/01/2000,PENINSULAR & OR.STM.NAV DEAD - 09/03/06,12/01/2000,0.654285714,1,0.428571429,0.428571429,0.714285714,0.7,0.58136646,0.5,0.5,0.428571429,0.739130435,0.739130435
7792,TOMKINS DEAD - 28/09/10,13/01/2000,TOMKINS DEAD - 28/09/10,13/01/2000,0.50950546,0.060843112,0.7915804,0.447779862,0.628453851,0.618870074,0.814202172,0.714285714,0.789473684,1,0.789473684,0.777777778
5330,MORRISON(WM)SPMKTS.,14/01/2000,MORRISON(WM)SPMKTS.,14/01/2000,0.758461538,0.5,0.6,0.692307692,1,1,0.505939394,0.2,0.636363636,0.333333333,0.68,0.68
6754,SAINSBURY (J),14/01/2000,SAINSBURY (J),14/01/2000,0.749534928,0.5,0.705882353,0.957446809,0.794871795,0.789473684,0.58962482,0.35,0.168831169,0.833333334,0.797979798,0.797979798
5106,MENZIES (JOHN),18/01/2000,MENZIES (JOHN),18/01/2000,0.675050379,0.247126437,0.830645162,0.690140845,0.8,0.80733945,0.516601307,0.333333333,0.555555556,0.4,0.647058824,0.647058824
6512,ROYAL DUTCH SHELL A(LON),26/01/2000,ROYAL DUTCH SHELL A(LON),26/01/2000,0,0,0,0,0,0,-0.257175178,-0.25,0.205882353,-0.75,-0.232142857,-0.259615385
7228,SOMERFIELD DEAD - DELIST 21/12/05,26/01/2000,SOMERFIELD DEAD - DELIST 21/12/05,26/01/2000,0.546250571,-0.011627907,0.873626374,0.6375,0.618421053,0.613333334,-0.12,-1,0.6,0.2,-0.2,-0.2
3317,FITNESS FIRST DEAD - 09/07/03,27/01/2000,FITNESS FIRST DEAD - 09/07/03,27/01/2000,0.611755626,0.526315789,0.789473684,0.563636364,0.594936709,0.584415584,0.602857143,-0.311111111,0.916666667,1,0.726190476,0.682539683
368,ARM HOLDINGS,31/01/2000,ARM HOLDINGS,31/01/2000,0.40605354,0.186440678,0.709302326,0.215189873,0.46835443,0.450980392,0.543556841,0.231359649,0.665564166,0.38125,0.709090909,0.730519481
683,BAA DEAD - 15/08/06,31/01/2000,BAA DEAD - 15/08/06,31/01/2000,0.541621562,0.454545455,0.770491803,0.461538462,0.514285714,0.507246377,0.154379572,-0.095238095,0.547619048,0.297777778,0,0.021739131
2421,CORUS GROUP DEAD - 05/04/07,31/01/2000,CORUS GROUP DEAD - 05/04/07,31/01/2000,-0.03277438,-0.388235294,0.298850575,-0.375,0.153846154,0.146666667,0.112820513,-0.238095238,0.230769231,-0.285714286,0.428571429,0.428571429
369,ARM HOLDINGS,01/02/2000,ARM HOLDINGS,01/02/2000,0.385322708,0.166666667,0.710982659,0.170731707,0.447852761,0.430379747,0.56969697,-0.090909091,0.666666667,0.272727273,1,1
4178,IMPERIAL CHM.INDS. DEAD - 03/01/08,03/02/2000,IMPERIAL CHM.INDS. DEAD - 03/01/08,03/02/2000,0.21,-0.2,0.333333333,-0.333333333,0.625,0.625,0.547338936,-0.058823529,0.619047619,0.176470588,1,1
6099,RANDGOLD RESOURCES,03/02/2000,RANDGOLD RESOURCES,03/02/2000,0.269715779,-0.28,0.448275862,0.416666667,0.363636364,0.4,-0.146464646,-0.818181818,0.555555556,0.363636364,-0.5,-0.333333333
7056,SIGNET GROUP DEAD - EX.INTO 54060C,03/02/2000,SIGNET GROUP DEAD - EX.INTO 54060C,03/02/2000,0.618614718,0.5,0.714285714,0.714285714,0.545454545,0.619047619,0.957894737,1,1,1,0.894736842,0.894736842
3010,EMAP DEAD - 20/03/08,04/02/2000,EMAP DEAD - 20/03/08,04/02/2000,0.753492823,0.6,0.894736842,0.636363636,0.818181818,0.818181818,0.748882009,0.529411765,0.894736842,0.555555556,0.882352941,0.882352941
1420,BRITISH AIRWAYS DEAD - EX.INTO 74190D,07/02/2000,BRITISH AIRWAYS DEAD - EX.INTO 74190D,07/02/2000,0.239444965,0.014925373,0.566878981,-0.172413793,0.397590361,0.390243902,0.053102453,-0.285714286,0.090909091,-0.428571429,0.444444444,0.444444444
1576,BRITISH SKY BCAST.GROUP,09/02/2000,BRITISH SKY BCAST.GROUP,09/02/2000,0.30972254,-0.02,0.453608247,-0.113402062,0.616161616,0.612244898,0.282941176,-0.5,0.333333333,0.066666667,0.764705882,0.75
6513,ROYAL DUTCH SHELL A(LON),10/02/2000,ROYAL DUTCH SHELL A(LON),10/02/2000,0.358070012,-0.162280702,0.704565323,0.377565983,0.434019272,0.436480187,0.237870174,-0.177777778,0.161771562,0.115811966,0.549079284,0.540465838
3956,HIWAVE TECHNOLOGIES DEAD - 08/03/13,14/02/2000,HIWAVE TECHNOLOGIES DEAD - 08/03/13,14/02/2000,0.07825253,-0.225806452,0.372093023,-0.318181818,0.3,0.263157895,0.384047619,0.166666667,0.428571429,0.125,0.6,0.6
1221,BP,15/02/2000,BP,15/02/2000,0.114517937,-0.058942365,0.54262786,-0.037465565,0.063472564,0.06289719,0.33765294,0.109090909,0.547264957,0.103703704,0.472649573,0.455555555
5119,MERSEY DOCKS & HARBOUR DEAD - DELIST 22/09/05,15/02/2000,MERSEY DOCKS & HARBOUR DEAD - DELIST 22/09/05,15/02/2000,0.519957444,-0.075757576,0.889830509,0.571428572,0.607142857,0.607142857,0.60842952,0.098039216,0.734432234,0.768115942,0.712814419,0.728745791
1940,CADBURY DEAD - 08/03/10,16/02/2000,CADBURY DEAD - 08/03/10,16/02/2000,0.634527635,0.004504505,0.881355932,0.612903226,0.838709678,0.835164835,0.481764706,0,0.75,0.6,0.529411765,0.529411765
6357,RIO TINTO,16/02/2000,RIO TINTO,16/02/2000,0.255555556,0,0.5,0.444444444,0.166666667,0.166666667,-0.063492064,-0.428571429,0.111111111,0,0,0
3856,HANSON DEAD - 30/08/07,17/02/2000,HANSON DEAD - 30/08/07,17/02/2000,0.643324956,0.110738255,0.796460177,0.670731708,0.820512821,0.818181818,0.568888889,0,0.916666667,0.4,0.777777778,0.75
8754,WPP,17/02/2000,WPP,17/02/2000,0.445199107,0.114603175,0.786827485,0.296263543,0.509852906,0.518448427,0.889293689,0.775757576,0.954545455,0.821428572,0.947368421,0.947368421
