"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",2
"22",2
"23",2
"24",2
"25",2
"26",2
"27",2
"28",3
"29",3
"30",3
"31",3
"32",3
"33",3
"34",4
"35",4
"36",4
"37",4
"38",4
"39",4
"40",5
"41",5
"42",5
"43",5
"44",5
"45",5
"46",5
"47",5
"48",5
"49",5
"50",5
"51",5
"52",5
"53",5
"54",5
"55",5
"56",5
"57",5
"58",5
"59",5
"60",5
"61",5
"62",5
"63",5
"64",5
"65",5
"66",6
"67",6
"68",6
"69",6
"70",7
"71",7
"72",8
"73",8
"74",8
"75",8
"76",8
"77",8
"78",8
"79",8
"80",9
"81",9
"82",9
"83",9
"84",9
"85",9
"86",9
"87",9
"88",9
"89",9
"90",10
"91",10
"92",10
"93",10
"94",10
"95",10
"96",10
"97",10
"98",10
"99",10
"100",10
"101",10
"102",10
"103",10
"104",10
"105",10
"106",10
"107",10
"108",10
"109",10
"110",10
"111",10
"112",10
"113",10
"114",10
"115",10
"116",10
"117",10
"118",10
"119",10
"120",10
"121",10
"122",10
"123",10
"124",10
"125",10
"126",10
"127",10
"128",11
"129",11
"130",11
"131",11
"132",11
"133",11
"134",11
"135",11
"136",11
"137",11
"138",11
"139",12
"140",12
"141",12
"142",12
"143",12
"144",12
"145",12
"146",12
"147",12
"148",12
"149",12
"150",12
"151",12
"152",12
"153",12
"154",12
"155",12
"156",12
"157",12
"158",12
"159",12
"160",13
"161",13
"162",13
"163",13
"164",13
"165",13
"166",13
"167",13
"168",13
"169",13
"170",13
"171",13
"172",13
"173",13
"174",13
"175",13
"176",13
"177",13
"178",14
"179",14
"180",15
"181",15
"182",15
"183",15
"184",15
"185",15
"186",15
"187",15
"188",15
"189",15
"190",15
"191",15
"192",15
"193",15
"194",15
"195",15
"196",15
"197",15
"198",15
"199",15
"200",15
"201",15
"202",16
"203",16
"204",16
"205",16
"206",16
"207",17
"208",17
"209",17
"210",17
"211",17
"212",17
"213",17
"214",17
"215",17
"216",17
"217",17
"218",17
"219",17
"220",17
"221",17
"222",17
"223",17
"224",17
"225",17
"226",17
"227",17
"228",17
"229",17
"230",17
"231",17
"232",17
"233",17
"234",17
"235",17
"236",17
"237",17
"238",17
"239",17
"240",17
"241",17
"242",17
"243",17
"244",17
"245",17
"246",17
"247",17
"248",17
"249",17
"250",17
"251",17
"252",17
"253",17
"254",17
"255",17
"256",17
"257",17
"258",17
"259",17
"260",17
"261",17
"262",17
"263",17
"264",17
"265",17
"266",17
"267",17
"268",17
"269",17
"270",17
"271",17
"272",17
"273",17
"274",17
"275",17
"276",17
"277",17
"278",17
"279",17
"280",17
"281",17
"282",17
"283",17
"284",17
"285",17
"286",17
"287",17
"288",17
"289",17
"290",17
"291",17
"292",17
"293",17
"294",17
"295",17
"296",17
"297",17
"298",17
"299",17
"300",17
"301",17
"302",17
"303",17
"304",17
"305",17
"306",17
"307",17
"308",18
"309",18
"310",19
"311",19
"312",19
"313",19
"314",19
"315",19
"316",19
"317",19
"318",19
"319",19
"320",19
"321",19
"322",20
"323",20
"324",20
"325",20
"326",20
"327",20
"328",20
"329",20
"330",20
"331",20
"332",20
"333",20
"334",20
"335",20
"336",20
"337",20
"338",20
"339",20
"340",20
"341",20
"342",20
"343",20
"344",20
"345",20
"346",20
"347",20
"348",20
"349",20
"350",20
"351",20
"352",20
"353",20
"354",20
"355",21
"356",21
"357",21
"358",22
"359",22
"360",22
"361",22
"362",22
"363",23
"364",23
"365",23
"366",24
"367",24
"368",25
"369",25
"370",25
"371",25
"372",25
"373",25
"374",25
"375",25
"376",25
"377",25
"378",25
"379",25
"380",25
"381",25
"382",25
"383",25
"384",25
"385",25
"386",25
"387",25
"388",25
"389",25
"390",25
"391",25
"392",25
"393",25
"394",25
"395",25
"396",25
"397",25
"398",25
"399",25
"400",25
"401",25
"402",25
"403",25
"404",25
"405",25
"406",25
"407",25
"408",25
"409",25
"410",25
"411",25
"412",25
"413",25
"414",25
"415",25
"416",25
"417",25
"418",25
"419",25
"420",25
"421",25
"422",26
"423",26
"424",26
"425",26
"426",26
"427",26
"428",26
"429",26
"430",26
"431",26
"432",26
"433",26
"434",26
"435",26
"436",26
"437",26
"438",26
"439",26
"440",26
"441",26
"442",26
"443",27
"444",27
"445",27
"446",27
"447",27
"448",27
"449",27
"450",27
"451",27
"452",27
"453",28
"454",28
"455",28
"456",28
"457",28
"458",28
"459",28
"460",28
"461",28
"462",28
"463",28
"464",28
"465",28
"466",28
"467",28
"468",29
"469",29
"470",29
"471",29
"472",29
"473",29
"474",29
"475",29
"476",29
"477",29
"478",29
"479",29
"480",29
"481",29
