"","X.substring.year..1..4.."
"1","2006"
"2","2006"
"3","2006"
"4","2006"
"5","2007"
"6","2007"
"7","2007"
"8","2007"
"9","2008"
"10","2008"
"11","2009"
"12","2009"
"13","2009"
"14","2010"
"15","2010"
"16","2011"
"17","2011"
"18","2012"
"19","2012"
"20","2012"
"21","2001"
"22","2003"
"23","2006"
"24","2006"
"25","2006"
"26","2007"
"27","2007"
"28","2001"
"29","2002"
"30","2003"
"31","2004"
"32","2006"
"33","2006"
"34","2003"
"35","2005"
"36","2005"
"37","2010"
"38","2012"
"39","2012"
"40","2000"
"41","2000"
"42","2002"
"43","2002"
"44","2004"
"45","2004"
"46","2004"
"47","2005"
"48","2005"
"49","2005"
"50","2005"
"51","2006"
"52","2006"
"53","2006"
"54","2007"
"55","2007"
"56","2007"
"57","2007"
"58","2009"
"59","2009"
"60","2010"
"61","2010"
"62","2010"
"63","2011"
"64","2012"
"65","2012"
"66","2011"
"67","2012"
"68","2012"
"69","2012"
"70","2012"
"71","2012"
"72","2004"
"73","2005"
"74","2005"
"75","2006"
"76","2006"
"77","2007"
"78","2008"
"79","2008"
"80","2000"
"81","2001"
"82","2002"
"83","2003"
"84","2003"
"85","2003"
"86","2004"
"87","2004"
"88","2004"
"89","2004"
"90","2000"
"91","2001"
"92","2002"
"93","2002"
"94","2003"
"95","2003"
"96","2003"
"97","2004"
"98","2004"
"99","2004"
"100","2005"
"101","2005"
"102","2005"
"103","2006"
"104","2007"
"105","2007"
"106","2008"
"107","2008"
"108","2008"
"109","2008"
"110","2009"
"111","2009"
"112","2009"
"113","2009"
"114","2009"
"115","2010"
"116","2010"
"117","2010"
"118","2010"
"119","2010"
"120","2011"
"121","2011"
"122","2011"
"123","2011"
"124","2011"
"125","2012"
"126","2012"
"127","2012"
"128","2006"
"129","2006"
"130","2006"
"131","2006"
"132","2006"
"133","2006"
"134","2007"
"135","2007"
"136","2007"
"137","2007"
"138","2007"
"139","2000"
"140","2000"
"141","2000"
"142","2001"
"143","2001"
"144","2002"
"145","2002"
"146","2002"
"147","2003"
"148","2003"
"149","2003"
"150","2004"
"151","2004"
"152","2004"
"153","2004"
"154","2005"
"155","2005"
"156","2005"
"157","2005"
"158","2005"
"159","2006"
"160","2000"
"161","2000"
"162","2001"
"163","2001"
"164","2002"
"165","2002"
"166","2002"
"167","2003"
"168","2003"
"169","2003"
"170","2003"
"171","2003"
"172","2003"
"173","2004"
"174","2004"
"175","2004"
"176","2004"
"177","2005"
"178","2010"
"179","2012"
"180","2000"
"181","2001"
"182","2002"
"183","2003"
"184","2003"
"185","2003"
"186","2004"
"187","2004"
"188","2005"
"189","2006"
"190","2006"
"191","2006"
"192","2006"
"193","2007"
"194","2008"
"195","2008"
"196","2009"
"197","2009"
"198","2009"
"199","2010"
"200","2012"
"201","2012"
"202","2000"
"203","2000"
"204","2001"
"205","2002"
